id,Dimension,Value
1,Dim1,3.95
1,Dim3,2.43
2,Dim1,3.89
2,Dim2,3.84
3,Dim1,4.05
3,Dim2,4.07
3,Dim3,2.31
4,Dim1,4.2
4,Dim3,2.63
5,Dim1,4.34
6,Dim1,3.94
7,Dim1,3.95
7,Dim2,3.98
8,Dim1,4.07
9,Dim2,3.78
9,Dim3,2.49
10,Dim1,4
10,Dim2,4.05
11,Dim1,4.25
11,Dim2,4.28
11,Dim3,2.73
12,Dim1,3.93
12,Dim3,2.46
13,Dim1,3.88
13,Dim2,3.84
13,Dim3,2.33
14,Dim1,4.35
14,Dim2,4.37
14,Dim3,2.71
15,Dim3,2.27
16,Dim2,4.42
16,Dim3,2.68
17,Dim1,4.31
17,Dim2,4.34
17,Dim3,2.68
18,Dim1,4.23
18,Dim2,4.29
19,Dim2,4.26
20,Dim1,4.21
20,Dim2,4.27
20,Dim3,2.66
21,Dim1,4.26
21,Dim2,4.3
22,Dim2,3.92
22,Dim3,2.48
23,Dim1,3.94
23,Dim2,3.96
23,Dim3,2.41
24,Dim1,4.39
24,Dim2,4.43
24,Dim3,2.62
25,Dim1,4.44
25,Dim2,4.47
25,Dim3,2.59
26,Dim2,4.01
26,Dim3,2.41
27,Dim2,3.94
27,Dim3,2.47
28,Dim1,4.28
28,Dim3,2.67
29,Dim2,3.97
29,Dim3,2.4
30,Dim1,3.96
30,Dim2,3.99
30,Dim3,2.42
31,Dim2,4.03
32,Dim1,4.04
32,Dim2,4.06
32,Dim3,2.42
33,Dim2,4.01
33,Dim3,2.42
34,Dim1,4.01
34,Dim2,4.06
34,Dim3,2.4
35,Dim1,3.92
35,Dim2,3.96
35,Dim3,2.44
36,Dim1,4.06
36,Dim2,4.08
36,Dim3,2.37
37,Dim1,3.83
37,Dim2,3.85
38,Dim1,4.29
38,Dim2,4.31
38,Dim3,2.75
39,Dim2,4.16
40,Dim1,4.49
40,Dim2,4.51
40,Dim3,2.78
41,Dim1,4.49
41,Dim2,4.5
41,Dim3,2.75
42,Dim1,4.49
42,Dim3,2.76
43,Dim1,3.99
43,Dim3,2.61
44,Dim1,4.19
45,Dim1,4.34
45,Dim2,4.37
45,Dim3,2.75
46,Dim2,4.26
46,Dim3,2.65
47,Dim1,4.35
47,Dim2,4.42
47,Dim3,2.71
48,Dim1,4.36
48,Dim2,4.38
49,Dim2,4.03
49,Dim3,2.54
50,Dim2,4.37
50,Dim3,2.64
51,Dim1,4.02
51,Dim3,2.45
52,Dim2,3.95
52,Dim3,2.44
53,Dim1,4.45
53,Dim2,4.48
53,Dim3,2.72
54,Dim1,3.93
54,Dim3,2.41
55,Dim1,3.91
55,Dim2,3.88
56,Dim1,4.3
57,Dim1,4.43
57,Dim3,2.61
58,Dim1,4.25
58,Dim2,4.28
58,Dim3,2.67
59,Dim1,4.28
59,Dim2,4.32
59,Dim3,2.71
60,Dim1,4.25
60,Dim2,4.29
60,Dim3,2.7
61,Dim1,4.54
61,Dim3,2.78
62,Dim1,4.23
