rate,from_currency,to_currency
0.797235,USD,GBP
1.2543353,GBP,USD
0.936359,USD,EUR
1.0679665,EUR,USD
8.58006,USD,NOK
0.1165493,NOK,USD
1.315303,USD,AUD
0.7602811,AUD,USD
3.960906,USD,PLN
0.25246748,PLN,USD
56.2761,USD,RUB
0.017769532,RUB,USD
111.33672,USD,JPY
0.008981762,JPY,USD
8.949181,USD,SEK
0.11174207,SEK,USD
3.122407,USD,BRL
0.32026574,BRL,USD
25.30297,USD,CZK
0.03952105,CZK,USD
1.332335,USD,CAD
0.750562,CAD,USD
1.42801,USD,NZD
0.7002752,NZD,USD
1.000938,USD,CHF
0.9990629,CHF,USD
3.672896,USD,AED
0.27226472,AED,USD
6.964,USD,DKK
0.14359564,DKK,USD
13.412661,USD,ZAR
0.07455642,ZAR,USD
112.173615,USD,XPF
0.008914753,XPF,USD
34.31,USD,THB
0.029146021,THB,USD
0.384962,USD,OMR
2.5976589,OMR,USD
104.95722,USD,PKR
0.009527692,PKR,USD
109.98105,USD,DZD
0.009092475,DZD,USD
10.052871,USD,MAD
0.09947407,MAD,USD
3.74985,USD,SAR
0.26667732,SAR,USD
113.2,USD,ISK
0.008833922,ISK,USD
1113.255,USD,KRW
0.0008982668,KRW,USD
3.640123,USD,QAR
0.274716,QAR,USD
13.396109,USD,NAD
0.074648544,NAD,USD
4.425465,USD,MYR
0.22596495,MYR,USD
1.395893,USD,SGD
0.7163873,SGD,USD
2.086452,USD,FJD
0.47928253,FJD,USD
0.304723,USD,KWD
3.281669,KWD,USD
108.27395,USD,VUV
0.009235832,VUV,USD
0.377466,USD,BHD
2.6492453,BHD,USD
6.873792,USD,CNY
0.14548011,CNY,USD
7.771436,USD,HKD
0.12867635,HKD,USD
1.174508,GBP,EUR
0.85142034,EUR,GBP
1.649831,GBP,AUD
0.6061227,AUD,GBP
1.671194,GBP,CAD
0.59837455,CAD,GBP
1.791203,GBP,NZD
0.558284,NZD,GBP
1396.3947,GBP,KRW
0.0007161299,KRW,GBP
0.382225,GBP,KWD
2.61626,KWD,GBP
135.8118,GBP,VUV
0.0073631303,VUV,GBP
139.65355,GBP,JPY
0.007160577,JPY,GBP
9.557423,EUR,SEK
0.104630716,SEK,EUR
0.028045,JPY,BRL
35.65698,BRL,JPY
1,GBP,GBP
1,EUR,EUR
1,NOK,NOK
1,AUD,AUD
1,PLN,PLN
1,RUB,RUB
1,JPY,JPY
1,SEK,SEK
1,BRL,BRL
1,CZK,CZK
1,CAD,CAD
1,NZD,NZD
1,CHF,CHF
1,AED,AED
1,DKK,DKK
1,ZAR,ZAR
1,XPF,XPF
1,THB,THB
1,OMR,OMR
1,PKR,PKR
1,DZD,DZD
1,MAD,MAD
1,SAR,SAR
1,ISK,ISK
1,KRW,KRW
1,QAR,QAR
1,NAD,NAD
1,MYR,MYR
1,SGD,SGD
1,FJD,FJD
1,KWD,KWD
1,VUV,VUV
1,BHD,BHD
1,CNY,CNY
1,HKD,HKD
1,USD,USD
