Price,X2,X3,X4,X5,X6,ID,Currency
45527.0573,E_A,SI2,61.5,55,0.23,50917,JPY
45666.71085,C_A,VS1,56.9,65,0.23,20554,JPY
392.285672,B_T,VS2,62.4,58,0.29,48880,EUR
420.2023255,C_P,SI2,63.3,58,0.31,12844,USD
554.343216,D_P,VVS2,62.8,57,0.24,44461,AUD
336,D_T,VVS1,62.3,57,NA,25594,GBP
422.7109961,D_C,NA,61.9,55,0.26,19800,USD
395.809196,A_A,VS2,65.1,61,0.22,28155,EUR
398.158212,C_P,SI1,64,55,0.3,26249,EUR
47482.207,E_P,VS1,62.8,56,0.23,51418,JPY
431.4913432,E_P,SI2,62.2,54,NA,36504,USD
569.191695,B_A,NA,60.9,58,0.32,28561,AUD
408.728784,E_T,NA,62,54,NA,31129,EUR
412.252308,C_P,SI1,63.4,54,0.3,42720,EUR
440.2716903,C_P,NA,63.8,56,NA,38656,USD
440.2716903,D_P,SI1,62.7,59,NA,44389,USD
49297.70315,D_C,NA,61,57,0.23,8565,JPY
353,D_P,SI1,59.4,62,0.31,47743,GBP
582.390343,D_P,SI1,58.1,62,0.31,45986,AUD
415.775832,D_Y,NA,60.4,58,NA,42679,EUR
445.2890315,B_T,VS1,62.5,57,0.24,18270,USD
588.989667,D_R,VS2,60.5,61,0.23,34336,AUD
357,D_X,NA,60.9,57,0.23,8897,GBP
504.2427906,D_X,NA,60,57,NA,28467,USD
402,D_X,VS1,59.8,57,0.23,25314,GBP
663.232062,D_R,VS1,61.9,58,0.23,5840,AUD
402,C_A,NA,64.1,59,0.23,1785,GBP
56280.38065,D_R,VS2,60.8,59,0.26,52344,JPY
56280.38065,E_T,NA,61.2,56,0.33,25258,JPY
664.881893,E_P,SI1,61.1,56,0.33,14839,AUD
473.326724,C_R,VS2,65.2,56,0.26,50762,EUR
473.326724,C_R,VS1,58.4,63,NA,27979,EUR
664.881893,B_X,SI1,62.4,58,0.29,12324,AUD
664.881893,D_C,SI2,61.8,55,NA,43866,AUD
403,C_C,SI2,63.8,56,0.32,3353,GBP
56420.0342,D_A,VS2,63.3,60,0.25,29885,JPY
474.501232,D_C,NA,60.7,60,NA,48921,EUR
56420.0342,D_X,SI1,60.9,61,0.24,46790,JPY
666.531724,E_Y,VS1,61.9,54,NA,45826,AUD
404,B_A,NA,61.6,58,NA,8590,GBP
474.501232,B_R,NA,59.3,62,NA,42433,EUR
475.67574,E_T,SI2,61,59,0.3,25600,EUR
405,B_P,SI2,59.3,61,0.3,33190,GBP
508.0057965,D_T,NA,62.6,57,0.3,44904,USD
77088.7596,E_T,NA,60.9,57,0.35,13018,JPY
552,B_R,SI1,62.6,59,0.3,34100,GBP
692.3930856,E_R,SI1,62.5,57,0.3,43859,USD
553,E_Y,NA,61.4,56,0.28,2821,GBP
77228.41315,D_Y,SI1,63.3,57,0.31,13501,JPY
77228.41315,B_Y,SI1,61.8,58,0.31,38914,JPY
650.677432,D_C,SI1,63.1,56,0.3,26889,EUR
554,B_C,SI1,62.9,59,NA,40642,GBP
77368.0667,C_C,SI1,63.7,57,0.3,40593,JPY
914.006374,D_X,NA,59.2,60,NA,41878,AUD
914.006374,D_A,VVS2,59.9,58,0.26,28937,AUD
694.9017562,D_R,VVS2,62.4,54,0.26,40361,USD
694.9017562,D_A,NA,62.6,59,0.26,50990,USD
914.006374,D_A,NA,63.4,59,NA,49673,AUD
694.9017562,D_R,NA,62.1,60,0.26,43142,USD
554,E_T,SI2,61.6,56,0.38,26185,GBP
694.9017562,C_A,VVS1,57.9,60,0.26,11210,USD
554,B_Y,VVS1,62.3,59,0.24,44506,GBP
694.9017562,B_C,NA,60.8,59,0.24,17277,USD
694.9017562,B_C,VVS2,60.7,58,0.24,23573,USD
385024.83735,A_A,SI2,55.1,69,NA,40087,JPY
2757,E_Y,NA,61.6,56,NA,48280,GBP
385304.14445,D_A,VS2,62.4,57,0.71,22318,JPY
385304.14445,C_A,NA,57.5,58,0.7,5638,JPY
4551.883729,A_X,SI2,66.3,62,0.96,32058,AUD
4553.53356,D_R,SI1,63.2,56,0.75,22543,AUD
385443.798,B_A,SI1,59.9,54,NA,8841,JPY
3461.965428,B_Y,NA,61.7,58,0.75,7458,USD
3461.965428,E_T,VS1,62.9,56,NA,12566,USD
4553.53356,E_Y,SI1,62.2,55,0.75,46849,AUD
3461.965428,B_Y,NA,63,59,NA,38370,USD
2761,E_T,NA,62.3,55,0.74,29058,GBP
3242.816588,E_X,SI2,58.8,57,0.81,35009,EUR
3242.816588,E_A,VVS2,62,55,0.59,3213,EUR
3243.991096,D_Y,NA,62.2,59,0.74,44160,EUR
3464.4740986,E_X,VS2,62.6,56,0.73,4129,USD
385723.1051,E_X,VS2,62.7,53,0.73,39486,JPY
2762,E_Y,NA,62.4,54,NA,5480,GBP
3464.4740986,E_A,VS2,60.7,58,0.7,17643,USD
385723.1051,E_X,SI2,59.9,59,0.8,35401,JPY
3243.991096,E_A,NA,62.3,54,0.74,27557,EUR
385723.1051,A_X,VS2,64.5,57,NA,48975,JPY
3464.4740986,A_X,VS2,65.3,55,0.7,17351,USD
3465.7284339,B_C,NA,61.4,56,0.91,36377,USD
2763,D_R,VVS2,59.6,57,NA,50692,GBP
3245.165604,A_C,NA,64.4,57,NA,27344,EUR
3245.165604,A_C,SI2,65.7,60,0.91,8774,EUR
3465.7284339,E_C,VS2,62,56,NA,24747,USD
4560.132884,E_R,SI1,61.9,59,0.71,18212,AUD
386142.06575,D_C,VS1,61.3,60,0.77,37456,JPY
2765,B_A,VVS1,60.9,60,NA,25446,GBP
3468.2371045,B_X,VS1,61.8,59,0.71,37374,USD
3247.51462,E_C,SI1,61.2,57,0.76,13337,EUR
4563.432546,E_Y,VVS1,61.9,56,NA,15586,AUD
3248.689128,B_Y,VS2,60.9,57,0.71,42903,EUR
4563.432546,B_Y,VS2,59.8,56,0.71,3718,AUD
3249.863636,D_R,VS2,61.8,55,0.7,28043,EUR
3249.863636,D_X,VS1,60,57,NA,44232,EUR
386421.37285,C_C,NA,62.1,64,0.7,46414,JPY
4568.382039,E_T,SI1,61.3,56,NA,45359,AUD
4570.03187,B_R,NA,62.5,60,0.71,10096,AUD
4570.03187,D_X,SI1,62.9,57,0.76,14577,AUD
3474.508781,E_R,SI2,62.4,57,0.76,39552,USD
3475.7631163,D_X,SI1,61.7,60,0.73,28866,USD
2771,E_X,SI2,61.9,55,NA,48615,GBP
3255.736176,D_C,VVS1,60.4,59,0.73,36850,EUR
3255.736176,D_X,NA,61,57,0.8,10713,EUR
3477.0174516,E_Y,NA,61.5,55,0.58,9479,USD
